rank_main,rank_child,lemma,pos,rnc_ipm,detcorpus_ipm,freq_sum,all_rki_abs,r,dp,det_rki_ipm,native_ipm,bilingual_ipm,inA1,inA2,dp_factor,zipf_rki,formula_mean_zipf,formula1,rufola_123_ipm,native_abs,bilingual_abs,cefr,comment_main,comment_child,kelly
606,2427,позиция,NOUN,167.6,22,78,3,38,0.65,14.22,5.51,117.12,0,0,35,4.15,4,16,40,5,65,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
607,307,скоро,ADVERB,167.3,592,579,61,85,0.62,289.1,291.85,387.39,1,1,38,5.46,5,20,303,265,215,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
608,2552,наиболее,ADVERB,167.2,14,49,3,38,0.68,14.22,26.43,23.42,0,0,32,4.15,4,16,72,24,13,B1,очень частотно (ТОП-1000),частотно (ТОП-3000),B2
609,207,двор,NOUN,166.9,377,510,122,85,0.6,578.2,213.66,320.72,0,0,40,5.76,5,21,127,194,178,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
610,403,обычно,ADVERB,166.7,124,392,37,54,0.62,175.36,144.27,243.24,1,1,38,5.24,5,20,709,131,135,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B2
611,898,разве,ADJECTIVE,166.4,302,130,13,54,0.64,61.61,58.37,104.5,0,0,36,4.79,5,18,48,53,58,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
612,1154,писатель,NOUN,166.3,48,424,63,46,0.83,298.58,278.63,86.49,1,1,17,5.48,5,18,478,253,48,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
613,387,самолет,NOUN,166.1,149,353,98,92,0.58,464.45,107.93,245.05,1,1,42,5.67,5,20,167,98,136,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
614,3589,объем,NOUN,165.8,7,22,4,46,0.78,18.96,9.91,5.41,0,0,22,4.28,4,15,48,9,3,C1,очень частотно (ТОП-1000),частотно (ТОП-4000),A2
615,305,далеко,ADVERB,165.5,627,493,67,69,0.62,317.54,246.7,281.08,1,1,38,5.5,5,20,366,224,156,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
616,567,солнце,NOUN,165.2,342,1238,110,92,0.73,521.33,871.15,540.54,1,1,27,5.72,5,19,295,791,300,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
617,2803,вера,NOUN,165.1,153,33,5,31,0.83,23.7,18.72,9.01,1,1,17,4.37,5,15,48,17,5,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
618,551,берег,NOUN,164.7,416,597,60,54,0.71,284.36,395.37,257.66,0,1,29,5.45,5,19,279,359,143,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
619,1190,спектакль,NOUN,164.7,39,141,15,54,0.64,71.09,44.05,115.32,0,0,36,4.85,5,18,175,40,64,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
620,2287,фирма,NOUN,164.4,37,29,4,23,0.72,18.96,0,7.21,1,1,28,4.28,5,16,167,0,4,A1,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
621,7259,способ,NOUN,164.2,56,264,0,23,0.88,0,250,57.66,0,0,12,0,4,6,40,227,32,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-8000),B1
622,1496,завод,NOUN,164,111,122,15,46,0.79,71.09,63.88,37.84,1,1,21,4.85,5,17,223,58,21,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B2
623,253,цвет,NOUN,163.6,116,793,124,92,0.59,587.68,366.74,565.77,1,1,41,5.77,5,21,175,333,314,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
624,940,трудно,ADVERB,163.3,179,306,17,54,0.65,80.57,140.97,214.41,1,1,35,4.91,5,18,335,128,119,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
625,439,журнал,NOUN,162,85,220,46,69,0.61,218.01,49.56,156.76,1,1,39,5.34,5,20,335,45,87,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
626,3145,руководитель,NOUN,162,32,12,1,23,0.68,4.74,0,18.02,0,0,32,3.68,4,15,8,0,10,B1,очень частотно (ТОП-1000),частотно (ТОП-4000),B2
627,2373,специалист,NOUN,161.9,28,32,6,38,0.79,28.44,5.51,9.01,0,1,21,4.45,5,16,127,5,5,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
628,633,детский,ADJECTIVE,161.8,154,320,33,69,0.64,156.4,114.54,254.05,1,1,36,5.19,5,19,335,104,141,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
629,2842,возможно,ADVERB,161.8,89,50,1,31,0.7,4.74,36.34,25.23,0,1,30,3.68,4,15,16,33,14,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),B2
630,1414,точно,ADVERB,161.7,231.5,258,20,46,0.78,94.79,196.04,77.48,0,1,22,4.98,5,17,135,178,43,A2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
631,2501,оценка,NOUN,161.4,17,79,4,46,0.64,18.96,49.56,45.05,0,1,36,4.28,4,16,40,45,25,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
632,6471,единый,ADJECTIVE,161.3,37,39,0,23,0.79,0,22.03,14.41,0,0,21,0,4,7,88,20,8,B1,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B1
633,3264,определенный,ADJECTIVE,161.2,22,76,3,31,0.73,14.22,57.27,36.04,0,0,27,4.15,4,15,8,52,20,C1,очень частотно (ТОП-1000),частотно (ТОП-4000),B2
634,1098,низкий,ADJECTIVE,160.7,67,116,28,54,0.68,132.7,61.67,52.25,0,1,32,5.12,5,18,24,56,29,A2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A1
635,131,нравиться,VERB,160.6,206,734,310,77,0.61,1469.19,127.75,392.79,1,1,39,6.17,6,22,717,116,218,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
636,333,услышать,VERB,160.4,309,452,61,38,0.64,289.1,170.7,327.93,0,1,36,5.46,5,20,430,155,182,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
637,5089,регион,NOUN,160.3,1,7,2,15,0.93,9.48,0,0,0,0,7,3.98,4,13,40,0,0,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-6000),C1
638,395,песня,NOUN,160.1,135,528,55,69,0.62,260.66,267.62,317.12,1,1,38,5.42,5,20,430,243,176,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
639,4754,процент,NOUN,160.1,23,4,2,15,0.93,9.48,0,0,0,1,7,3.98,4,13,16,0,0,A2,очень частотно (ТОП-1000),частотно (ТОП-5000),B1
640,343,родитель,NOUN,160,241,799,103,92,0.62,488.15,110.13,954.95,1,1,38,5.69,5,20,526,100,530,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
641,1439,чужой,ADJECTIVE,159.6,172,126,7,46,0.65,33.18,73.79,86.49,0,0,35,4.52,5,17,32,67,48,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
642,220,море,NOUN,159.5,287,1244,204,85,0.6,966.82,616.74,715.32,1,1,40,5.99,6,21,661,560,397,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
643,1416,странный,ADJECTIVE,159.5,230,130,7,46,0.66,33.18,62.78,84.68,0,0,34,4.52,5,17,151,57,47,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
644,6882,требование,NOUN,159.4,15,44,0,15,0.69,0,28.63,32.43,0,0,31,0,3,7,0,26,18,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B2
645,987,чистый,ADJECTIVE,159,138,246,26,77,0.67,123.22,151.98,115.32,0,1,33,5.09,5,18,143,138,64,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
646,1013,половина,NOUN,158.8,116,85,15,46,0.61,71.09,20.93,64.86,1,1,39,4.85,5,18,119,19,36,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
647,1412,какой-нибудь,APRO,158.8,242,128,7,38,0.66,33.18,68.28,95.5,0,0,34,4.52,5,17,48,62,53,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
648,6380,весьма,ADVERB,158.8,46,16,0,23,0.69,0,9.91,10.81,0,0,31,0,4,7,8,9,6,C1,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),C1
649,6571,основание,NOUN,158.8,29,15,0,23,0.74,0,7.71,7.21,0,0,26,0,4,7,32,7,4,C1,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B2
650,127,поехать,VERB,158.4,236,657,254,69,0.6,1203.79,79.3,385.59,1,1,40,6.08,6,22,932,72,214,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
651,326,входить,VERB,157.9,374,676,147,62,0.66,696.68,280.84,342.34,0,1,34,5.84,6,20,669,255,190,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
652,916,легко,ADVERB,157.9,241,351,22,77,0.67,104.27,213.66,190.99,1,1,33,5.02,5,18,231,194,106,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
653,1578,роман,NOUN,157.7,68,66,10,38,0.64,47.39,19.82,55.86,1,1,36,4.68,5,17,56,18,31,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B2
654,2388,поздний,ADJECTIVE,157.7,26,100,6,31,0.74,28.44,73.79,45.05,0,0,26,4.45,4,16,16,67,25,B1,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
655,1025,круг,NOUN,157.4,108,116,15,54,0.62,71.09,50.66,84.68,0,0,38,4.85,5,18,64,46,47,B2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A1
656,5242,анализ,NOUN,157,12,68,3,23,0.99,14.22,70.48,0,0,0,1,4.15,4,12,8,64,0,B1,очень частотно (ТОП-1000),низкочастотно (ТОП-6000),B2
657,1633,автомобиль,NOUN,156.9,53,91,7,46,0.67,33.18,47.36,52.25,0,0,33,4.52,5,17,96,43,29,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A1
658,1650,специальный,ADJECTIVE,156.8,49,127,6,31,0.65,28.44,55.07,91.89,0,0,35,4.45,5,17,159,50,51,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
659,1173,литература,NOUN,156,43,94,29,62,0.67,137.44,12.11,41.44,1,1,33,5.14,5,18,247,11,23,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
660,632,бумага,NOUN,155.8,155,227,29,62,0.64,137.44,91.41,180.18,0,1,36,5.14,5,19,119,83,100,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
661,946,вместо,PREPOSITION,155.7,173,609,25,46,0.67,118.48,219.16,677.48,0,0,33,5.07,5,18,72,199,376,B2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
662,1518,впервые,ADVERB,155.5,95,71,5,38,0.64,23.7,28.63,48.65,0,0,36,4.37,5,17,104,26,27,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B2
663,577,видно,ADVERB,155.2,311,239,59,46,0.64,279.62,114.54,131.53,0,0,36,5.45,5,19,24,104,73,C1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
664,1223,поэт,NOUN,155.1,33,349,39,46,0.79,184.83,223.57,97.3,1,1,21,5.27,5,18,422,203,54,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
665,2224,научный,ADJECTIVE,155.1,47,208,14,46,0.89,66.35,161.89,23.42,1,1,11,4.82,5,16,271,147,13,A1,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
666,1388,оказываться,VERB,155.1,672,271,6,38,0.68,28.44,151.98,194.59,0,0,32,4.45,5,17,151,138,108,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B2
667,196,показывать,VERB,155,483,1301,147,100,0.64,696.68,813.88,621.62,1,1,36,5.84,6,21,558,739,345,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
668,2389,степень,NOUN,155,26,43,13,31,0.71,61.61,20.93,19.82,0,0,29,4.79,4,16,0,19,11,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),C1
669,6263,касаться,VERB,154.7,96,25,0,23,0.76,0,19.82,10.81,0,0,24,0,4,7,8,18,6,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B2
670,2821,господин,NOUN,154.6,110,28,1,31,0.71,4.74,4.41,14.41,1,1,29,3.68,5,15,119,4,8,A1,очень частотно (ТОП-1000),частотно (ТОП-3000),A1
671,2157,сложный,ADJECTIVE,154.5,61,718,21,46,0.83,99.53,634.36,189.19,0,1,17,5,5,16,127,576,105,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),A1
672,6251,надежда,NOUN,154.5,156,41,0,23,0.73,0,23.13,19.82,0,1,27,0,5,7,72,21,11,A2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B1
673,713,предмет,NOUN,154.4,71,1961,99,62,0.66,469.19,1246.7,1284.68,1,1,34,5.67,5,19,135,1132,713,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
674,975,вокруг,PREPOSITION,154.4,144.1,240,18,38,0.68,85.31,129.96,140.54,0,0,32,4.93,5,18,207,118,78,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
675,1745,министр,NOUN,154.1,29,3,2,15,0.5,9.48,0,0,0,0,50,3.98,4,17,8,0,0,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B2
676,3168,вариант,NOUN,154.1,30,181,1,31,0.69,4.74,93.61,158.56,0,0,31,3.68,4,15,56,85,88,B2,очень частотно (ТОП-1000),частотно (ТОП-4000),B2
677,592,откуда,ADVERB,154,267,467,44,77,0.64,208.53,197.14,410.81,1,1,36,5.32,5,19,127,179,228,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
678,6767,реальный,ADJECTIVE,153.8,19,13,0,23,0.69,0,5.51,7.21,0,0,31,0,4,7,32,5,4,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B2
679,2940,граница,NOUN,153.7,58,109,9,46,0.83,42.65,85.9,25.23,0,1,17,4.63,5,15,64,78,14,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),A2
680,804,модель,NOUN,153.5,25,198,69,62,0.68,327.01,69.38,104.5,0,0,32,5.51,5,19,64,63,58,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B2
681,1008,дух,NOUN,153.5,119,72,16,54,0.65,75.83,33.04,41.44,0,0,35,4.88,5,18,24,30,23,C1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),C1
682,8025,действовать,VERB,153.5,97,167,0,23,0.96,0,167.4,10.81,0,0,4,0,5,5,72,152,6,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-9000),B2
683,7256,операция,NOUN,153.3,59,47,0,23,0.91,0,3.3,7.21,0,0,9,0,5,6,319,3,4,B1,очень частотно (ТОП-1000),низкочастотно (ТОП-8000),B1
684,1470,пара,NOUN,152.7,134,1094,34,46,0.8,161.14,922.91,378.38,0,0,20,5.21,5,17,96,838,210,B2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
685,1423,сон,NOUN,152.7,205,267,10,38,0.68,47.39,157.49,178.38,0,0,32,4.68,5,17,119,143,99,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A1
686,565,немного,ADVERB,151.9,344,219,15,54,0.64,71.09,67.18,169.37,0,0,36,4.85,5,19,390,61,94,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
687,704,название,NOUN,151.8,82,1876,50,62,0.68,236.97,1341.41,1063.06,0,0,32,5.37,5,19,143,1218,590,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
688,6295,повод,NOUN,151.2,68,26,0,15,0.69,0,4.41,39.64,0,0,31,0,4,7,0,4,22,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B2
689,909,старик,NOUN,151,271,256,17,31,0.77,80.57,98.02,106.31,0,0,23,4.91,5,18,725,89,59,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
690,2184,способный,ADJECTIVE,150.5,55,23,2,38,0.66,9.48,5.51,19.82,0,0,34,3.98,4,16,40,5,11,B1,очень частотно (ТОП-1000),частотно (ТОП-3000),B2
691,325,мало,ADVERB,150.4,377,274,38,77,0.61,180.09,100.22,174.77,1,1,39,5.26,5,20,382,91,97,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
692,2195,миллион,NOUN,150.4,53,78,3,38,0.74,14.22,20.93,34.23,0,1,26,4.15,5,16,295,19,19,A2,очень частотно (ТОП-1000),частотно (ТОП-3000),A2
693,2096,малый,ADJECTIVE,150.2,88,58,3,38,0.66,14.22,29.74,36.04,0,0,34,4.15,5,16,64,27,20,C1,очень частотно (ТОП-1000),частотно (ТОП-3000),B2
694,385,старший,ADJECTIVE,149.5,155.5,296,57,62,0.64,270.14,81.5,230.63,1,1,36,5.43,5,20,295,74,128,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
695,1138,успех,NOUN,149.5,53,111,13,46,0.67,61.61,44.05,52.25,0,1,33,4.79,5,18,231,40,29,A2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),C1
696,6768,практически,ADVERB,149.4,19,11,0,23,0.73,0,2.2,5.41,0,0,27,0,4,7,48,2,3,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),C1
697,1385,счастье,NOUN,149.2,0,217,31,62,0.72,146.92,92.51,99.1,0,0,28,5.17,5,18,374,84,55,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
698,1642,личный,ADJECTIVE,149.2,51,632,24,62,0.8,113.74,529.74,218.02,0,0,20,5.06,5,17,48,481,121,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
699,424,свободный,ADJECTIVE,149,98,185,41,69,0.57,194.31,48.46,93.69,1,1,43,5.29,5,20,382,44,52,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
700,3169,необходимо,ADVERB,149,30,90,2,38,0.74,9.48,67.18,39.64,0,0,26,3.98,4,15,40,61,22,B1,очень частотно (ТОП-1000),частотно (ТОП-4000),B1
701,90,ребята,NOUN,148.9,1006,1700,363,69,0.62,1720.38,825.99,1030.63,0,1,38,6.24,6,22,119,750,572,A2,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
702,1003,обычный,ADJECTIVE,148.7,123,93,7,46,0.63,33.18,28.63,64.86,0,1,37,4.52,5,18,191,26,36,A2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
703,969,кабинет,NOUN,148.5,148,149,101,62,0.79,478.67,14.32,28.83,1,1,21,5.68,5,18,151,13,16,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
704,677,прекрасный,ADJECTIVE,148.4,102,432,39,62,0.64,184.83,181.72,246.85,0,1,36,5.27,5,19,725,165,137,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
705,584,кричать,VERB,147.3,288,347,25,69,0.66,118.48,180.62,243.24,0,0,34,5.07,5,19,183,164,135,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
706,3929,прежде,PREPOSITION,147.3,34.4,32,1,31,0.8,4.74,23.13,10.81,0,0,20,3.68,5,14,32,21,6,B1,очень частотно (ТОП-1000),частотно (ТОП-4000),C1
707,248,магазин,NOUN,147.2,132,622,162,100,0.57,767.77,129.96,452.25,1,1,43,5.89,6,21,725,118,251,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
708,1591,пространство,NOUN,147.2,66,26,5,31,0.62,23.7,13.22,16.22,0,0,38,4.37,4,17,0,12,9,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
709,1471,выход,NOUN,147,134,57,7,38,0.64,33.18,19.82,46.85,1,1,36,4.52,5,17,48,18,26,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A1
710,6200,удар,NOUN,146.8,138,48,0,23,0.69,0,20.93,43.24,0,0,31,0,5,8,40,19,24,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B1
711,3170,база,NOUN,146.7,30,4,1,23,0.67,4.74,1.1,3.6,0,0,33,3.68,4,15,0,1,2,B2,очень частотно (ТОП-1000),частотно (ТОП-4000),B2
712,1681,знание,NOUN,146.4,41,321,14,46,0.66,66.35,221.37,176.58,0,0,34,4.82,5,17,64,201,98,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
713,570,сюда,ADVERB,146.1,325,128,25,62,0.6,118.48,45.15,81.08,1,1,40,5.07,5,19,135,41,45,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
714,921,темный,ADJECTIVE,146,228,249,20,62,0.65,94.79,147.58,156.76,0,1,35,4.98,5,18,64,134,87,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
715,588,предлагать,VERB,145.9,279,374,20,54,0.65,94.79,193.83,239.64,0,0,35,4.98,5,19,358,176,133,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
716,2341,защита,NOUN,145.9,31,15,3,38,0.64,14.22,6.61,9.01,0,0,36,4.15,4,16,8,6,5,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),B2
717,2804,вовсе,ADVERB,145.3,153,49,2,31,0.72,9.48,36.34,23.42,0,0,28,3.98,5,15,8,33,13,C1,очень частотно (ТОП-1000),частотно (ТОП-3000),C2
718,431,площадь,NOUN,145.2,92,346,59,69,0.63,279.62,122.25,162.16,1,1,37,5.45,5,20,685,111,90,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
719,8463,гражданский,ADJECTIVE,144.7,20,3,0,15,1,0,1.1,0,0,0,0,0,4,4,16,1,0,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-9000),B2
720,1119,возраст,NOUN,144.5,62,93,16,62,0.6,75.83,23.13,82.88,0,0,40,4.88,5,18,80,21,46,A1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A1
721,901,молчать,VERB,144.5,298,210,13,54,0.67,61.61,112.33,117.12,0,1,33,4.79,5,18,239,102,65,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
722,2398,участник,NOUN,144.2,25,81,2,31,0.67,9.48,38.55,50.45,0,0,33,3.98,5,16,127,35,28,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
723,6302,участок,NOUN,144.2,65,31,0,23,0.69,0,16.52,27.03,0,0,31,0,4,7,8,15,15,C1,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B2
724,204,рано,ADVERB,144.1,404,594,115,85,0.65,545.02,214.76,302.7,1,1,35,5.74,6,21,924,195,168,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
725,2307,пункт,NOUN,144,35,77,7,38,0.69,33.18,55.07,36.04,0,0,31,4.52,4,16,0,50,20,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
726,930,сильно,ADVERB,143.9,213,147,16,46,0.63,75.83,78.19,88.29,0,0,37,4.88,5,18,88,71,49,B2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
727,2893,несмотря,ADVERB,143.9,71,37,3,38,0.78,14.22,17.62,10.81,0,0,22,4.15,5,15,96,16,6,B1,очень частотно (ТОП-1000),частотно (ТОП-3000),B2
728,6409,столь,ADVERB,143.9,43,5,0,15,0.69,0,3.3,3.6,0,0,31,0,4,7,0,3,2,NO,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),NO
729,1081,линия,NOUN,143.7,72,181,15,46,0.62,71.09,81.5,145.95,0,0,38,4.85,5,18,88,74,81,B2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
730,563,бежать,VERB,143.6,346,687,43,62,0.69,203.79,470.26,360.36,0,1,31,5.31,5,19,135,427,200,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
731,1059,желание,NOUN,143.6,86,103,10,31,0.65,47.39,28.63,73.87,0,0,35,4.68,5,18,207,26,41,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
732,48,папа,NOUN,143.4,689,1835,674,100,0.57,3194.31,277.53,1390.99,1,1,43,6.5,6,23,1091,252,772,A1,очень частотно (ТОП-1000),крайне частотно (ТОП-100),A1
733,386,петь,VERB,143.2,154,876,89,85,0.64,421.8,481.28,538.74,1,1,36,5.63,5,20,406,437,299,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
734,918,кажется,ADVERB,143.2,234,96,14,62,0.68,66.35,44.05,43.24,0,0,32,4.82,5,18,143,40,24,B2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A2
735,994,доктор,NOUN,143.1,130,164,16,62,0.63,75.83,59.47,102.7,0,1,37,4.88,5,18,295,54,57,A2,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
736,2106,известно,ADVERB,143,83,78,10,31,0.79,47.39,41.85,28.83,0,0,21,4.68,5,16,112,38,16,B1,очень частотно (ТОП-1000),частотно (ТОП-3000),NO
737,1410,губа,NOUN,143,255,79,4,38,0.67,18.96,46.26,52.25,0,0,33,4.28,5,17,32,42,29,B2,очень частотно (ТОП-1000),очень частотно (ТОП-2000),B1
738,218,дома,ADVERB,142.5,296,722,161,92,0.58,763.03,177.31,540.54,1,1,42,5.88,6,21,797,161,300,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
739,514,среда,NOUN,142.4,16,157,78,69,0.53,369.67,16.52,93.69,1,1,47,5.57,5,20,96,15,52,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
740,420,дочь,NOUN,142.4,103,323,36,92,0.62,170.62,83.7,227.03,1,1,38,5.23,5,20,677,76,126,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
741,1424,вызывать,VERB,142.4,204,88,9,38,0.74,42.65,55.07,36.04,0,0,26,4.63,5,17,72,50,20,B1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
742,8327,председатель,NOUN,142.3,63,10,0,15,1,0,9.91,0,0,0,0,0,4,4,8,9,0,B2,очень частотно (ТОП-1000),низкочастотно (ТОП-9000),B1
743,706,художник,NOUN,142.2,80,512,40,69,0.69,189.57,248.9,261.26,1,1,31,5.28,5,19,805,226,145,A1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),B1
744,1224,представление,NOUN,142.2,33,132,35,38,0.65,165.88,27.53,126.13,0,0,35,5.22,5,18,16,25,70,C1,очень частотно (ТОП-1000),очень частотно (ТОП-2000),A2
745,2801,солдат,NOUN,142.2,162,88,5,38,0.88,23.7,66.08,14.41,0,0,12,4.37,5,15,119,60,8,B1,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
746,345,волос,NOUN,141.8,239,197,36,77,0.57,170.62,56.17,147.75,0,1,43,5.23,5,20,223,51,82,B1,очень частотно (ТОП-1000),очень частотно (ТОП-1000),A1
747,6219,оружие,NOUN,141.8,97,24,0,23,0.69,0,14.32,14.41,0,0,31,0,4,8,24,13,8,B1,очень частотно (ТОП-1000),низкочастотно (ТОП-7000),B1
748,2042,выглядеть,VERB,141.7,116,130,2,38,0.67,9.48,74.89,100.9,0,0,33,3.98,4,16,32,68,56,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
749,7774,соответствие,NOUN,141,4,18,0,15,0.69,0,6.61,21.62,0,0,31,0,3,6,0,6,12,NO,очень частотно (ТОП-1000),низкочастотно (ТОП-8000),B2
750,2018,никак,ADVPRO,140.5,162.6,69,3,31,0.68,14.22,39.65,46.85,0,0,32,4.15,5,16,32,36,26,B2,очень частотно (ТОП-1000),частотно (ТОП-3000),B1
