level,text_number,inA2,inB1,inA1,inB2,inC1,kellyA1,kellyA2,kellyB1,kellyB2,kellyC1,kellyC2,simple850,simple1000,simple2000,dale3000,brown10000,infr100i,infr300i,infr500i,infr1000i,infr3000i,infr5000i,infr10000i,infr100,infr300,infr500,infr1000,infr3000,infr5000,infr10000,infr_more_than_5,infr_spoken,lex_physical,lex_abstract,lex_substance,lex_virtual,lex_emotions,lex_names_and_geo,lex_bastards,formula_flesh_kinc,formula_dale,formula_smog,formula_coleman,formula_senter,words,mean_len_word,median_len_word,median_len_sentence,mean_len_sentence,percent_of_long_words,mean_punct_per_sentence,median_punct_per_sentence,tt_ratio,contentPOS,kotoryi/words,modal_verbs,conj_adversative,kotoryi/sentences,passive,A,ADV,ADVPRO,ANUM,APRO,COM,CONJ,INTJ,NUM,PART,PR,S,SPRO,V,наст,непрош,прош,вин,дат,им,пр,род,твор,ед,мн,деепр,изъяв,инф,пов,прич,кр,полн,притяж,1-л,2-л,3-л,жен,муж,сред,несов,сов,действ,страд,неод,од,нп,пе,ADVPRO_sentence,ед_sentence,PR_sentence,дат_sentence,полн_sentence,1-л_sentence,sentences,INTJ_sentence,изъяв_sentence,од_sentence,NUM_sentence,муж_sentence,пр_sentence,жен_sentence,пе_sentence,A_sentence,mean_len_word_in_syllables,страд_sentence,род_sentence,вин_sentence,притяж_sentence,сов_sentence,им_sentence,прош_sentence,V_sentence,нп_sentence,неод_sentence,CONJ_sentence,2-л_sentence,действ_sentence,деепр_sentence,непрош_sentence,SPRO_sentence,несов_sentence,мн_sentence,кр_sentence,3-л_sentence,S_sentence,сред_sentence,наст_sentence,пов_sentence,ANUM_sentence,ADV_sentence,COM_sentence,прич_sentence,инф_sentence,твор_sentence,APRO_sentence,PART_sentence
3,380,0.596,0.678,0.522,0.793,0.893,0.463,0.654,0.736,0.833,0.865,0.88,0.418,0.531,0.489,0.633,0.856,0.37,0.469,0.51,0.599,0.733,0.814,0.88,0.369,0.47,0.507,0.566,0.715,0.774,0.872,0.908,0.084,0.54,0.454,0.071,0.034,0.037,65,15,17.078,14.9,8.678,5.814,20.475,1414,5.746,5,14,14.729,0.17,1.802,1,2.01,0.695,0.007,0.004,0.177,0.104,2,0.13,0.032,0.007,0.004,0.045,0,0.063,0,0.004,0.016,0.136,0.391,0.032,0.142,0,0.089,0.026,0.036,0.015,0.068,0.022,0.04,0.047,0.325,0.186,0.004,0.105,0.018,0,0.016,0.008,0.136,0,0,0.001,0.096,0.15,0.299,0.068,0.11,0.031,0.006,0.009,0.325,0.074,0.057,0.077,0,0.003,0.001,0,0.001,0,96,0,0.001,0.001,0,0.003,0,0.002,0.001,0.001,2.349,0,0,0,0,0,0.001,0,0.001,0.001,0.003,0.001,0,0,0,0.001,0,0.001,0.002,0,0.001,0.004,0.001,0,0,0,0,0,0,0,0,0,0
3,381,0.633,0.721,0.537,0.795,0.885,0.389,0.588,0.68,0.816,0.855,0.865,0.363,0.471,0.455,0.58,0.857,0.328,0.449,0.506,0.598,0.783,0.836,0.865,0.326,0.443,0.506,0.594,0.773,0.846,0.91,0.928,0.09,0.536,0.435,0.014,0.036,0.029,43,9,12.945,10.634,8.331,6.149,16.464,531,6.053,6,11,10.412,0.222,0.608,0,1.691,0.712,0.006,0,0.059,0.059,1,0.115,0.056,0.017,0.008,0.043,0,0.036,0,0.011,0.019,0.132,0.412,0.023,0.128,0,0.03,0.07,0.019,0.013,0.117,0.024,0.053,0.032,0.407,0.117,0.002,0.089,0.015,0.002,0.023,0.009,0.132,0.009,0.009,0.002,0.036,0.202,0.294,0.068,0.055,0.072,0.006,0.013,0.32,0.1,0.072,0.053,0,0.008,0.003,0,0.003,0,51,0,0.002,0.002,0,0.006,0,0.004,0.001,0.002,2.533,0,0.001,0,0,0.001,0.002,0.001,0.003,0.001,0.006,0.001,0,0,0,0.001,0,0.001,0.002,0,0.001,0.008,0.001,0,0,0,0.001,0,0,0,0.001,0.001,0
3,382,0.696,0.801,0.604,0.877,0.923,0.534,0.731,0.829,0.893,0.917,0.941,0.477,0.606,0.538,0.663,0.93,0.359,0.501,0.565,0.705,0.827,0.902,0.941,0.35,0.492,0.549,0.674,0.807,0.877,0.943,0.954,0.133,0.772,0.533,0.109,0.043,0.011,4,0,12.613,10.401,6.928,5.692,15.839,461,5.594,6,10,10.244,0.156,0.711,0,1.837,0.67,0.004,0.002,0.178,0.044,0,0.139,0.061,0.011,0,0.056,0,0.091,0,0.007,0.028,0.095,0.332,0.041,0.139,0,0.007,0.098,0.024,0.015,0.121,0.022,0.05,0.037,0.33,0.208,0,0.108,0.026,0,0.004,0.002,0.139,0,0,0.009,0.015,0.234,0.193,0.069,0.117,0.017,0,0.004,0.271,0.069,0.065,0.067,0,0.007,0.002,0,0.003,0,45,0,0.002,0.002,0,0.004,0,0.005,0.001,0.003,2.369,0,0.001,0.001,0,0,0.003,0.002,0.003,0.001,0.006,0.002,0,0,0,0,0.001,0.003,0.005,0,0,0.007,0.002,0,0,0,0.001,0,0,0.001,0.001,0.001,0.001
3,383,0.713,0.808,0.643,0.887,0.938,0.493,0.685,0.786,0.897,0.917,0.918,0.472,0.567,0.563,0.645,0.911,0.417,0.544,0.629,0.713,0.845,0.889,0.918,0.423,0.544,0.61,0.722,0.837,0.895,0.94,0.957,0.085,0.6,0.443,0.052,0.026,0.017,42,20,14.735,12.637,7.178,5.577,17.997,575,5.497,5,11,12.5,0.137,0.957,0,1.867,0.663,0.007,0.002,0.043,0.087,5,0.099,0.052,0.021,0.005,0.071,0,0.042,0,0.007,0.014,0.141,0.35,0.037,0.162,0,0.014,0.118,0.028,0.016,0.089,0.026,0.03,0.038,0.409,0.134,0.002,0.129,0.016,0,0.016,0.014,0.099,0,0.003,0.003,0.04,0.143,0.341,0.054,0.089,0.066,0.003,0.012,0.256,0.103,0.097,0.052,0,0.009,0.003,0,0.002,0,46,0,0.003,0.002,0,0.007,0.001,0.003,0.001,0.002,2.235,0,0.001,0.001,0,0.001,0.002,0.003,0.004,0.002,0.006,0.001,0,0,0,0,0.001,0.002,0.003,0,0.001,0.008,0.001,0,0,0,0.001,0,0,0,0.001,0.002,0
3,384,0.722,0.823,0.655,0.889,0.939,0.539,0.761,0.835,0.913,0.926,0.932,0.483,0.647,0.538,0.7,0.905,0.506,0.634,0.681,0.753,0.866,0.91,0.932,0.499,0.625,0.674,0.756,0.87,0.899,0.941,0.969,0.256,0.61,0.524,0.098,0,0.037,34,13,13.94,12.037,6.373,4.742,16.581,775,4.658,4,10,11.923,0.114,1.538,1,2.202,0.546,0,0.009,0.262,0,1,0.048,0.097,0.026,0.001,0.036,0,0.101,0,0.004,0.067,0.102,0.196,0.117,0.205,0,0.021,0.151,0.025,0.015,0.098,0.008,0.013,0.031,0.436,0.062,0.004,0.17,0.028,0.001,0.001,0.013,0.036,0,0.006,0.008,0.102,0.231,0.195,0.055,0.141,0.061,0,0.001,0.135,0.074,0.115,0.081,0,0.007,0.002,0,0.001,0,65,0,0.003,0.001,0,0.003,0,0.004,0.001,0.001,2.017,0,0,0,0,0.001,0.002,0.002,0.003,0.002,0.002,0.002,0,0,0,0,0.002,0.002,0.001,0,0.002,0.003,0.001,0,0,0,0.001,0,0,0,0,0.001,0.001
3,385,0.677,0.771,0.595,0.866,0.931,0.513,0.711,0.814,0.883,0.904,0.914,0.441,0.592,0.559,0.679,0.885,0.434,0.565,0.636,0.703,0.828,0.87,0.914,0.441,0.569,0.633,0.697,0.822,0.865,0.925,0.944,0.178,0.49,0.466,0.044,0.039,0.034,24,14,16.109,14.064,8.014,5.269,19.107,1085,5.197,5,15,13.91,0.154,2,2,1.973,0.571,0.006,0.007,0.231,0.09,0,0.055,0.053,0.015,0.005,0.049,0,0.074,0.001,0.005,0.059,0.139,0.29,0.083,0.172,0,0.06,0.054,0.024,0.021,0.086,0.018,0.031,0.022,0.29,0.155,0.006,0.116,0.041,0.009,0.007,0.007,0.054,0,0.037,0.022,0.075,0.166,0.193,0.054,0.088,0.078,0.003,0.004,0.21,0.083,0.071,0.088,0,0.004,0.002,0,0.001,0,78,0,0.001,0.001,0,0.002,0,0.002,0.001,0.001,2.199,0,0,0,0,0.001,0.001,0.001,0.002,0.001,0.003,0.001,0,0,0,0.001,0.001,0.001,0.002,0,0.001,0.004,0.001,0,0,0,0.001,0,0,0.001,0,0.001,0.001
3,386,0.608,0.732,0.501,0.86,0.929,0.475,0.667,0.762,0.907,0.931,0.933,0.435,0.546,0.525,0.613,0.884,0.382,0.511,0.553,0.648,0.834,0.893,0.933,0.385,0.499,0.551,0.629,0.829,0.886,0.938,0.955,0.219,0.5,0.597,0.097,0.028,0.083,1,6,14.197,11.951,8.416,5.922,17.587,423,5.837,6,12,11.75,0.201,1.389,1,1.679,0.643,0.002,0.014,0.222,0.028,0,0.083,0.078,0.014,0.005,0.033,0,0.113,0,0.009,0.064,0.08,0.291,0.038,0.191,0,0.064,0.024,0.026,0.002,0.038,0.007,0.061,0.028,0.227,0.161,0.007,0.102,0.073,0.017,0.002,0.007,0.083,0,0.009,0.019,0.069,0.102,0.206,0.073,0.111,0.069,0.002,0,0.272,0.035,0.071,0.106,0,0.006,0.002,0,0.002,0,36,0,0.003,0.001,0,0.006,0,0.003,0.003,0.002,2.447,0,0.002,0.001,0,0.002,0.001,0.001,0.005,0.002,0.008,0.003,0.001,0,0,0.002,0.001,0.003,0.004,0,0.002,0.008,0.002,0,0,0,0.002,0,0,0.002,0.001,0.001,0.002
3,387,0.79,0.865,0.703,0.922,0.953,0.642,0.804,0.869,0.925,0.933,0.937,0.496,0.679,0.558,0.722,0.911,0.521,0.653,0.714,0.772,0.879,0.904,0.937,0.519,0.651,0.708,0.772,0.878,0.906,0.952,0.962,0.343,0.469,0.524,0.048,0.034,0.041,21,21,10.891,8.971,5.477,4.849,13.594,1559,4.736,4,7,8.858,0.113,1.278,1,2.987,0.504,0,0.01,0.21,0,0,0.055,0.09,0.035,0.005,0.049,0,0.087,0.007,0.01,0.088,0.072,0.175,0.142,0.183,0,0.064,0.066,0.028,0.011,0.109,0.008,0.021,0.019,0.401,0.104,0,0.134,0.03,0.019,0.003,0.011,0.047,0,0.06,0.066,0.073,0.135,0.183,0.044,0.106,0.072,0.001,0.001,0.123,0.062,0.071,0.095,0,0.002,0,0,0,0,176,0,0.001,0,0,0.001,0,0.001,0.001,0,2.033,0,0,0,0,0,0.001,0,0.001,0,0.001,0,0,0,0,0,0.001,0.001,0.001,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0
3,388,0.657,0.75,0.561,0.83,0.915,0.454,0.641,0.723,0.833,0.884,0.896,0.369,0.515,0.471,0.498,0.883,0.331,0.419,0.479,0.624,0.798,0.837,0.896,0.331,0.411,0.474,0.553,0.789,0.843,0.915,0.95,0.076,0.456,0.649,0.035,0.023,0.018,6,2,14.694,12.183,10.397,6.769,18.564,689,6.685,7,11.5,11.879,0.303,1.19,1,1.767,0.714,0.004,0.004,0.052,0.052,2,0.134,0.029,0.012,0.007,0.049,0,0.046,0,0.007,0.015,0.115,0.396,0.035,0.155,0,0.001,0.119,0.045,0.016,0.071,0.019,0.052,0.048,0.318,0.232,0.001,0.115,0.022,0,0.016,0.013,0.136,0,0.001,0,0.01,0.161,0.27,0.122,0.123,0.032,0.004,0.01,0.337,0.071,0.096,0.049,0,0.005,0.002,0,0.002,0,58,0,0.002,0.001,0,0.005,0,0.003,0.001,0.002,2.814,0,0.001,0.001,0,0.001,0.001,0.002,0.003,0.002,0.006,0.001,0,0,0,0,0.001,0.002,0.004,0,0,0.007,0.002,0,0,0,0.001,0,0,0,0.001,0.001,0
3,389,0.635,0.777,0.549,0.849,0.911,0.481,0.662,0.807,0.852,0.868,0.877,0.415,0.565,0.484,0.663,0.88,0.347,0.457,0.522,0.58,0.763,0.84,0.877,0.361,0.457,0.501,0.568,0.724,0.838,0.904,0.927,0.157,0.623,0.438,0.096,0.021,0.021,1,3,14.445,12.255,7.746,5.518,17.525,677,5.436,5,10,12.089,0.165,0.839,0,2.058,0.675,0.01,0.004,0.071,0.125,0,0.075,0.038,0.007,0.01,0.044,0,0.072,0,0.009,0.006,0.148,0.412,0.028,0.149,0,0.003,0.127,0.025,0.01,0.083,0.024,0.024,0.053,0.272,0.22,0,0.13,0.012,0,0.007,0.006,0.078,0,0.004,0.004,0.006,0.211,0.233,0.062,0.129,0.016,0.001,0.003,0.258,0.154,0.075,0.068,0,0.005,0.003,0,0.001,0,56,0,0.002,0.003,0,0.004,0,0.004,0.001,0.001,2.356,0,0,0,0,0,0.001,0.002,0.003,0.001,0.005,0.001,0,0,0,0,0.001,0.002,0.004,0,0,0.007,0.001,0,0,0,0.001,0,0,0,0.001,0.001,0
