rank,lemma,pos,freq_sum,all_rki_abs,r,dp,all_rki_ipm,native_ipm,bilingual_ipm,rnc_ipm,detcorpus_ipm
7303,прошлое,NOUN,55,0,23,0.82,0,28.63,18.02,111.2,42
2351,возле,PREPOSITION,138,6,46,0.69,28.44,100.22,72.07,111,267
8367,возле,ADVERB,5,0,8,1,0,5.51,0,111,267
8095,командир,NOUN,45,0,15,1,0,44.05,0,110.9,148
1220,коридор,NOUN,90,18,54,0.62,85.31,28.63,61.26,110.8,221
2421,рамка,NOUN,88,6,38,0.67,28.44,57.27,46.85,110.6,16
8741,поддержка,NOUN,5,0,15,1,0,2.2,0,110.6,17
2629,вскоре,ADVERB,57,5,38,0.64,23.7,29.74,32.43,110.5,128
4938,сквозь,PREPOSITION,96,1,31,0.84,4.74,88.11,25.23,110.5,198
1267,ладно,ADJECTIVE,57,17,46,0.58,80.57,8.81,37.84,110.3,348
2172,враг,NOUN,131,7,31,0.68,33.18,67.18,82.88,110.3,144
7091,этап,NOUN,8,0,23,0.7,0,3.3,5.41,110.3,9
2274,черт,NOUN,20,7,31,0.78,33.18,4.41,7.21,110.2,124
649,дед,NOUN,268,47,77,0.62,222.75,120.04,156.76,110.1,316
1483,собрание,NOUN,49,14,46,0.74,66.35,20.93,12.61,109.9,60
1801,прием,NOUN,79,10,54,0.6,47.39,38.55,59.46,109.8,39
5145,физический,ADJECTIVE,17,1,31,0.82,4.74,2.2,5.41,109.8,19
775,клетка,NOUN,175,37,62,0.62,175.36,89.21,93.69,109.6,67
2196,болезнь,NOUN,69,7,46,0.63,33.18,12.11,63.06,109.6,55
6384,кожа,NOUN,39,0,15,0.69,0,29.74,21.62,109.5,74
8500,заявление,NOUN,12,0,15,1,0,11.01,0,109.3,27
4103,ради,PREPOSITION,22,2,38,0.76,9.48,12.11,9.01,109.2,75
8072,сравнение,NOUN,106,0,23,0.9,0,102.42,19.82,109.1,27
8769,попытка,NOUN,4,0,15,1,0,3.3,0,109.1,36
4924,расчет,NOUN,8,1,23,0.67,4.74,3.3,7.21,108.9,37
1718,когда-то,ADVERB,65,11,38,0.72,52.13,38.55,27.03,108.8,95
8515,частный,ADJECTIVE,11,0,15,1,0,2.2,0,108.7,19
4739,мелкий,ADJECTIVE,92,1,31,0.73,4.74,70.48,43.24,108.5,122
6273,невозможно,ADVERB,26,0,23,0.69,0,7.71,18.02,108.5,68
1004,английский,ADJECTIVE,211,25,69,0.64,118.48,61.67,151.35,108.4,55
1572,постоянный,ADJECTIVE,78,13,31,0.91,61.61,57.27,10.81,108.4,26
3240,комитет,NOUN,5,4,15,0.98,18.96,0,0,108.1,28
4127,примерно,ADVERB,19,2,31,0.77,9.48,8.81,7.21,107.8,42
278,дядя,NOUN,427,116,85,0.57,549.76,120.04,338.74,107.5,395
826,бить,VERB,270,34,46,0.67,161.14,153.08,162.16,107.5,149
373,хлеб,NOUN,528,86,100,0.57,407.58,221.37,369.37,107.4,156
2015,хватить,VERB,43,8,54,0.59,37.91,13.22,27.03,107.3,174
2070,тихий,ADJECTIVE,214,8,54,0.75,37.91,154.19,90.09,107.3,120
1388,обещать,VERB,97,15,38,0.64,71.09,23.13,77.48,107.2,140
194,чай,NOUN,445,166,100,0.56,786.73,118.94,245.05,106.8,168
265,встречаться,VERB,603,124,54,0.7,587.68,290.75,273.87,106.8,191
3629,чай,ADVERB,7,3,31,0.8,14.22,3.3,1.8,106.8,168
2740,режим,NOUN,17,5,38,0.67,23.7,4.41,12.61,106.7,15
8534,целое,NOUN,10,0,15,1,0,6.61,0,106.6,11
4823,гораздо,ADVERB,31,1,31,0.73,4.74,15.42,14.41,106.5,73
1294,выражение,NOUN,460,17,38,0.68,80.57,274.23,344.14,106.4,76
1533,напоминать,VERB,132,13,38,0.74,61.61,103.52,45.05,106.2,162
4007,неожиданно,ADVERB,43,2,31,0.76,9.48,24.23,18.02,106.1,177
243,зима,NOUN,1185,138,85,0.63,654.03,650.88,735.14,106,112
444,упасть,VERB,328,69,77,0.61,327.01,123.35,250.45,106,212
1276,здоровье,NOUN,166,17,62,0.62,80.57,57.27,140.54,106,51
3392,десяток,NOUN,36,3,38,0.69,14.22,19.82,16.22,105.7,76
6259,глубина,NOUN,47,0,23,0.7,0,27.53,25.23,105.6,102
1254,сеть,NOUN,77,18,46,0.79,85.31,41.85,21.62,105.5,41
861,студент,NOUN,195,32,54,0.77,151.66,17.62,43.24,105.4,49
3399,скорость,NOUN,33,3,38,0.64,14.22,11.01,25.23,105.2,95
3853,секунда,NOUN,41,2,31,0.69,9.48,8.81,41.44,105.2,178
8206,обладать,VERB,18,0,23,0.89,0,11.01,3.6,105.2,25
6413,поиск,NOUN,34,0,23,0.69,0,14.32,36.04,105,73
6561,европейский,ADJECTIVE,21,0,23,0.69,0,3.3,18.02,104.9,7
1208,ошибка,NOUN,800,19,54,0.77,90.05,654.19,304.5,104.4,68
4451,отечественный,ADJECTIVE,17,2,23,0.96,9.48,5.51,0,104.3,9
419,теплый,ADJECTIVE,488,74,77,0.62,350.71,273.13,254.05,104,131
595,плакать,VERB,272,52,46,0.67,246.45,103.52,192.79,103.9,161
7169,духовный,ADJECTIVE,7,0,23,0.69,0,1.1,5.41,103.7,7
5419,прежний,ADJECTIVE,43,1,23,0.87,4.74,40.75,9.01,103.6,86
6262,режиссер,NOUN,45,0,23,0.69,0,1.1,34.23,103.5,18
6367,поверхность,NOUN,43,0,15,0.69,0,28.63,30.63,103.4,70
5496,ощущение,NOUN,18,1,23,0.88,4.74,16.52,3.6,103.3,46
6461,состояться,VERB,28,0,23,0.69,0,11.01,19.82,103.1,23
788,карта,NOUN,134,36,54,0.55,170.62,17.62,133.33,103,114
823,станция,NOUN,161,34,54,0.63,161.14,55.07,68.47,103,123
1016,клуб,NOUN,144,25,77,0.69,118.48,82.6,45.05,103,76
8256,революция,NOUN,13,0,15,1,0,2.2,0,102.9,43
1461,колено,NOUN,54,14,46,0.65,66.35,12.11,46.85,102.8,163
1789,стекло,NOUN,181,10,46,0.67,47.39,118.94,104.5,102.8,160
282,этаж,NOUN,393,114,77,0.6,540.28,62.78,344.14,102.7,139
1074,остальной,APRO,245,23,46,0.73,109,182.82,97.3,102.2,182
1234,наоборот,ADVERB,133,18,62,0.63,85.31,61.67,93.69,101.9,96
2045,высота,NOUN,73,8,46,0.63,37.91,31.94,57.66,101.9,72
55,бабушка,NOUN,1474,484,100,0.56,2293.84,328.19,1111.71,101.8,464
3861,трубка,NOUN,33,2,31,0.69,9.48,15.42,18.02,101.7,174
2484,французский,ADJECTIVE,91,6,46,0.86,28.44,56.17,14.41,101.5,32
4889,профессиональный,ADJECTIVE,17,1,23,0.63,4.74,0,10.81,101.5,11
482,женский,ADJECTIVE,555,63,62,0.65,298.58,321.59,331.53,101.4,46
6282,крайний,ADJECTIVE,21,0,23,0.69,0,5.51,23.42,101.3,85
4845,газ,NOUN,27,1,31,0.68,4.74,11.01,23.42,101,39
3310,мастер,NOUN,176,3,31,0.77,14.22,60.57,68.47,100.8,101
8767,естественно,ADVERB,4,0,15,1,0,1.1,0,100.8,42
2073,главное,ADVERB,156,8,46,0.79,37.91,117.84,46.85,100.7,176
2347,вниз,ADVERB,162,6,46,0.67,28.44,82.6,124.32,100.7,221
2429,главное,NOUN,67,6,54,0.76,28.44,38.55,21.62,100.7,176
2671,поведение,NOUN,95,5,38,0.65,23.7,25.33,120.72,100.7,41
840,рассматривать,VERB,1166,33,46,0.67,156.4,643.17,985.59,100.6,104
425,мешать,VERB,172,74,46,0.63,350.71,31.94,111.71,100.4,127
464,столица,NOUN,225,66,62,0.63,312.8,55.07,106.31,100.2,24
1392,передача,NOUN,80,15,54,0.61,71.09,14.32,63.06,100.1,31
7101,механизм,NOUN,8,0,15,0.69,0,3.3,9.01,100.1,23
2537,божий,ADJECTIVE,22,6,38,0.89,28.44,15.42,3.6,99.9,24
6505,способность,NOUN,24,0,23,0.69,0,7.71,18.02,99.9,36
6421,энергия,NOUN,32,0,23,0.69,0,2.2,45.05,99.7,43
5223,дальнейший,ADJECTIVE,12,1,31,0.74,4.74,7.71,5.41,99.6,31
3753,исполнение,NOUN,3,3,15,0.92,14.22,0,0,99.5,11
389,кино,NOUN,260,81,77,0.58,383.89,79.3,153.15,99.4,82
2201,сожаление,NOUN,59,7,46,0.65,33.18,5.51,48.65,99.4,58
3893,мол,ADJECTIVE,14,2,31,0.6,9.48,3.3,16.22,99.2,102
1609,отличаться,VERB,326,12,46,0.67,56.87,222.47,192.79,98.9,41
1784,обращаться,VERB,406,10,38,0.68,47.39,266.52,254.05,98.6,187
154,рождение,NOUN,523,215,92,0.58,1018.96,74.89,369.37,98.5,57
1591,снимать,VERB,147,12,46,0.64,56.87,52.86,106.31,98.5,286
1593,железный,ADJECTIVE,104,12,54,0.6,56.87,50.66,66.67,98.3,158
1283,улыбка,NOUN,96,17,46,0.67,80.57,40.75,45.05,98.1,157
3467,соответствовать,VERB,129,3,38,0.67,14.22,93.61,72.07,98.1,10
7001,стоимость,NOUN,9,0,15,0.69,0,0,5.41,98.1,5
1054,горячий,ADJECTIVE,204,23,62,0.64,109,107.93,115.32,98,114
1330,артист,NOUN,131,16,46,0.62,75.83,25.33,126.13,98,40
212,пожалуйста,ADJECTIVE,574,157,92,0.57,744.08,164.1,400,97.8,191
1161,сосед,NOUN,382,20,62,0.65,94.79,165.2,318.92,97.8,120
1691,попробовать,VERB,499,11,38,0.72,52.13,386.56,234.23,97.8,167
2401,приводить,VERB,339,6,38,0.71,28.44,262.11,165.77,97.8,146
2929,фраза,NOUN,73,4,38,0.67,18.96,19.82,72.07,97.8,73
353,веселый,ADJECTIVE,652,92,92,0.63,436.02,378.85,340.54,97.7,168
3389,фигура,NOUN,37,3,38,0.63,14.22,13.22,32.43,97.5,94
6320,утверждать,VERB,60,0,23,0.69,0,28.63,57.66,97.3,38
220,фотография,NOUN,391,151,69,0.63,715.64,47.36,221.62,97.2,97
1527,список,NOUN,208,13,54,0.65,61.61,127.75,135.14,97.2,36
6607,реакция,NOUN,19,0,15,0.69,0,0,32.43,97.2,21
470,май,NOUN,197,64,85,0.61,303.32,61.67,86.49,97,37
2068,означать,VERB,297,8,46,0.77,37.91,246.7,115.32,97,44
3062,журналист,NOUN,61,4,31,0.86,18.96,9.91,16.22,97,20
7216,май,NAME,6,0,8,0.69,0,0,10.81,97,37
1956,платить,VERB,38,9,38,0.77,42.65,6.61,10.81,96.9,42
5759,заседание,NOUN,19,1,15,0.99,4.74,19.82,0,96.7,20
6285,толпа,NOUN,19,0,23,0.69,0,13.22,10.81,96.7,130
755,больница,NOUN,137,38,77,0.56,180.09,25.33,104.5,96.6,94
4958,существо,NOUN,61,1,31,0.8,4.74,48.46,21.62,96.6,75
359,решать,VERB,1222,90,69,0.64,426.54,644.27,659.46,96.5,652
323,интересно,ADVERB,352,100,69,0.62,473.93,123.35,192.79,96.4,174
2649,официальный,ADJECTIVE,20,5,31,0.62,23.7,4.41,14.41,96.4,13
4431,свойство,NOUN,33,2,23,0.87,9.48,30.84,5.41,96.4,16
3702,долг,NOUN,12,3,23,0.82,14.22,7.71,3.6,96.2,47
4506,поколение,NOUN,14,2,23,0.99,9.48,3.3,0,96.2,20
450,серый,ADJECTIVE,341,68,92,0.58,322.27,172.91,194.59,96.1,190
313,животное,NOUN,1107,104,77,0.64,492.89,487.89,974.77,95.9,73
1965,схема,NOUN,601,9,46,0.83,42.65,539.65,167.57,95.9,20
2953,отличие,NOUN,45,4,38,0.67,18.96,23.13,34.23,95.8,22
1446,остров,NOUN,166,14,69,0.64,66.35,87,109.91,95.7,150
3457,опасный,ADJECTIVE,273,3,31,0.82,14.22,232.38,84.68,95.7,81
3919,наблюдать,VERB,180,2,31,0.8,9.48,151.98,63.06,95.5,111
5715,противник,NOUN,7,1,23,0.99,4.74,3.3,0,95.5,55
363,разговаривать,VERB,367,89,69,0.59,421.8,91.41,281.08,95.4,184
1022,волна,NOUN,257,25,54,0.84,118.48,221.37,52.25,95.4,141
7163,прочий,ADJECTIVE,7,0,15,0.69,0,4.41,5.41,95.2,31
1143,страница,NOUN,348,21,54,0.73,99.53,262.11,142.34,95.1,68
8291,формирование,NOUN,11,0,15,0.69,0,3.3,14.41,95,1
1230,житель,NOUN,171,18,46,0.66,85.31,84.8,104.5,94.9,67
109,есть,VERB,1186,280,92,0.57,1327.01,371.15,722.52,94.7,199
440,правильно,ADVERB,1457,70,85,0.69,331.75,1053.96,736.94,94.7,153
2664,красота,NOUN,137,5,46,0.75,23.7,88.11,55.86,94.7,59
295,птица,NOUN,1307,111,77,0.65,526.07,766.52,886.49,94.5,166
2047,благодаря,PREPOSITION,66,8,38,0.65,37.91,22.03,39.64,94.5,24
2899,растение,NOUN,326,4,38,0.67,18.96,201.54,230.63,94.4,35
1938,тень,NOUN,171,9,38,0.76,42.65,134.36,70.27,94.3,141
2408,явление,NOUN,141,6,31,0.68,28.44,95.81,82.88,94.3,22
3847,храм,NOUN,48,2,31,0.7,9.48,11.01,25.23,94.2,20
2192,слабый,ADJECTIVE,88,7,31,0.68,33.18,33.04,79.28,94.1,81
2419,запах,NOUN,90,6,54,0.77,28.44,72.69,28.83,94.1,115
765,яркий,ADJECTIVE,346,38,54,0.78,180.09,263.22,106.31,93.9,109
6595,пожалуй,ADJECTIVE,19,0,23,0.7,0,12.11,10.81,93.9,109
8988,наличие,NOUN,9,0,8,1,0,9.91,0,93.9,6
4774,ужас,NOUN,52,1,31,0.67,4.74,17.62,36.04,93.8,124
551,одежда,NOUN,298,56,85,0.58,265.4,78.19,227.03,93.7,99
337,ездить,VERB,446,95,69,0.59,450.24,57.27,389.19,93.6,88
420,кресло,NOUN,259,74,77,0.56,350.71,37.44,254.05,93.6,120
1456,больной,ADJECTIVE,86,14,54,0.64,66.35,24.23,50.45,93.4,106
2878,больной,NOUN,75,4,46,0.66,18.96,20.93,66.67,93.4,106
252,поезд,NOUN,414,134,77,0.64,635.07,126.65,200,93.3,132
798,университет,NOUN,227,36,38,0.79,170.62,5.51,63.06,93.3,24
437,летний,ADJECTIVE,287,71,77,0.64,336.49,143.17,120.72,93.2,49
502,понравиться,VERB,375,61,69,0.6,289.1,117.84,282.88,93.1,134
1086,традиция,NOUN,109,22,54,0.62,104.27,12.11,57.66,93.1,12
1303,дополнительный,ADJECTIVE,57,17,54,0.72,80.57,26.43,21.62,93.1,13
636,декабрь,NOUN,155,48,85,0.55,227.49,41.85,88.29,92.7,13
1035,адрес,NOUN,167,24,54,0.65,113.74,63.88,115.32,92.7,76
7295,ладонь,NOUN,71,0,23,0.83,0,62.78,21.62,92.7,197
1053,поздно,ADVERB,213,23,77,0.62,109,83.7,133.33,92.5,176
3159,сведение,NOUN,146,4,23,0.84,18.96,132.16,39.64,92.5,35
232,цветок,NOUN,1194,142,100,0.61,672.99,618.94,717.12,92.4,151
964,правильный,ADJECTIVE,532,27,54,0.67,127.96,229.07,524.32,92.4,44
970,выполнять,VERB,828,27,46,0.8,127.96,711.45,259.46,92.3,93
543,октябрь,NOUN,114,57,92,0.53,270.14,29.74,45.05,92.2,17
1042,лесной,ADJECTIVE,568,24,31,0.75,113.74,448.24,246.85,92.2,73
4524,лидер,NOUN,9,2,15,0.99,9.48,0,0,92.2,5
306,объяснять,VERB,2412,107,46,0.85,507.11,2166.3,571.17,92.1,347
641,сентябрь,NOUN,169,48,85,0.59,227.49,67.18,81.08,92.1,28
855,занятие,NOUN,282,32,46,0.64,151.66,63.88,284.68,92.1,93
552,январь,NOUN,176,56,85,0.57,265.4,45.15,99.1,91.9,13
3230,согласно,PREPOSITION,9,4,15,0.96,18.96,5.51,0,91.9,17
4481,прочее,SPRO,4,2,15,0.96,9.48,2.2,0,91.9,91
6358,помещение,NOUN,44,0,15,0.69,0,26.43,36.04,91.9,55
2642,резко,ADVERB,27,5,31,0.63,23.7,13.22,18.02,91.7,110
2875,зритель,NOUN,82,4,38,0.66,18.96,11.01,97.3,91.7,41
4755,постепенно,ADVERB,64,1,31,0.69,4.74,36.34,48.65,91.7,69
594,умный,ADJECTIVE,266,52,85,0.59,246.45,111.23,154.95,91.5,112
3218,стиль,NOUN,18,4,23,0.98,18.96,5.51,0,91.4,14
299,весна,NOUN,1060,110,85,0.67,521.33,683.92,547.75,91.3,88
1329,северный,ADJECTIVE,133,16,54,0.62,75.83,60.57,77.48,91.2,39
789,август,NOUN,93,36,85,0.53,170.62,22.03,50.45,91,31
5133,известие,NOUN,18,1,31,0.72,4.74,12.11,9.01,91,19
3648,зависимость,NOUN,91,3,38,0.82,14.22,68.28,27.03,90.9,7
6681,охрана,NOUN,16,0,23,0.69,0,7.71,14.41,90.9,40
2072,ясный,ADJECTIVE,161,8,46,0.8,37.91,134.36,54.05,90.8,96
1900,милый,ADJECTIVE,161,9,54,0.67,42.65,83.7,120.72,90.7,102
763,светлый,ADJECTIVE,223,38,85,0.67,180.09,127.75,106.31,90.5,105
606,концерт,NOUN,186,51,54,0.61,241.71,38.55,127.93,90.2,43
3436,отделение,NOUN,16,3,31,0.68,14.22,1.1,16.22,90.2,43
3938,редкий,ADJECTIVE,78,2,31,0.75,9.48,53.96,34.23,90.2,60
957,выставка,NOUN,148,27,54,0.61,127.96,27.53,88.29,89.9,24
6279,милиция,NOUN,21,0,23,0.71,0,7.71,10.81,89.9,140
1531,верный,ADJECTIVE,139,13,38,0.73,61.61,100.22,54.05,89.8,91
168,находить,VERB,4165,199,85,0.7,943.13,2976.87,2046.85,89.5,694
4035,переход,NOUN,35,2,31,0.67,9.48,20.93,18.02,89.3,27
4364,эпоха,NOUN,10,2,31,0.76,9.48,2.2,3.6,89,16
354,четвертый,ADJECTIVE,295,92,85,0.57,436.02,100.22,187.39,88.9,90
766,произведение,NOUN,209,38,38,0.78,180.09,126.65,63.06,88.9,19
886,родина,NOUN,208,31,38,0.68,146.92,107.93,122.52,88.9,48
3320,тайна,NOUN,122,3,38,0.68,14.22,74.89,86.49,88.9,116
712,трава,NOUN,748,41,77,0.67,194.31,523.13,409.01,88.7,219
682,лагерь,NOUN,121,44,54,0.56,208.53,31.94,73.87,88.6,130
4805,во-первых,ADVERB,36,1,31,0.69,4.74,16.52,19.82,88.5,66
793,кровать,NOUN,292,36,77,0.61,170.62,106.83,250.45,88.4,156
2907,понятно,ADVERB,135,4,31,0.73,18.96,104.63,57.66,88.4,132
7359,кивнуть,VERB,31,0,15,0.87,0,29.74,7.21,88.4,286
2908,узкий,ADJECTIVE,125,4,38,0.73,18.96,95.81,57.66,88.3,111
7243,настолько,ADVERB,5,0,15,0.69,0,0,7.21,88.3,46
230,узнавать,VERB,1767,146,62,0.67,691.94,1148.68,890.09,88.2,543
1273,середина,NOUN,230,17,38,0.66,80.57,144.27,127.93,88.2,68
6425,аппарат,NOUN,32,0,23,0.69,0,20.93,21.62,88.2,62
7073,очевидно,ADVERB,8,0,23,0.69,0,4.41,5.41,88.2,52
7434,абсолютно,ADVERB,22,0,23,0.82,0,1.1,7.21,88.2,41
535,март,NOUN,199,58,92,0.65,274.88,63.88,82.88,88.1,23
2178,художественный,ADJECTIVE,125,7,38,0.66,33.18,60.57,64.86,88.1,17
5696,клиент,NOUN,12,1,15,0.98,4.74,0,0,87.9,17
7244,лично,ADVERB,5,0,15,0.69,0,2.2,5.41,87.8,47
1905,дама,NOUN,103,9,38,0.72,42.65,68.28,43.24,87.7,61
3823,обратно,ADVERB,84,2,31,0.67,9.48,36.34,72.07,87.7,171
8270,фронт,NOUN,12,0,15,1,0,5.51,0,87.7,88
275,стул,NOUN,383,117,100,0.53,554.5,75.99,313.51,87.6,152
1694,древний,ADJECTIVE,224,11,38,0.68,52.13,136.56,136.94,87.6,66
3954,беседа,NOUN,66,2,23,0.66,9.48,45.15,41.44,87.5,43
6905,обеспечивать,VERB,11,0,15,0.69,0,2.2,16.22,87.5,19
1673,замечательный,ADJECTIVE,118,11,46,0.65,52.13,60.57,61.26,87.4,63
3323,двигаться,VERB,102,3,38,0.66,14.22,58.37,75.68,87.3,123
960,страшно,ADVERB,101,27,46,0.64,127.96,22.03,70.27,87.2,153
3042,содержать,VERB,111,4,31,0.68,18.96,72.69,72.07,87.2,8
287,музей,NOUN,576,112,85,0.57,530.81,84.8,443.24,87,77
1163,след,NOUN,240,20,46,0.65,94.79,136.56,172.97,86.9,179
3967,задний,ADJECTIVE,55,2,23,0.68,9.48,36.34,36.04,86.9,81
111,приезжать,VERB,728,277,69,0.67,1312.8,161.89,322.52,86.8,317
2181,из-под,PREPOSITION,119,7,38,0.68,33.18,79.3,68.47,86.8,160
4150,сомнение,NOUN,15,2,23,0.68,9.48,7.71,10.81,86.8,74
5090,понимание,NOUN,22,1,31,0.68,4.74,8.81,19.82,86.7,15
1055,здоровый,ADJECTIVE,135,23,69,0.6,109,60.57,77.48,86.6,84
2375,держаться,VERB,62,6,23,0.68,28.44,38.55,37.84,86.4,139
8123,слегка,ADVERB,30,0,23,0.9,0,28.63,5.41,86.3,104
609,апрель,NOUN,139,51,85,0.6,241.71,41.85,61.26,86.2,15
286,рыба,NOUN,646,112,92,0.59,530.81,267.62,410.81,86,149
4954,князь,NOUN,63,1,31,0.77,4.74,30.84,25.23,86,59
423,открывать,VERB,868,74,62,0.74,350.71,563.88,324.32,85.7,455
1841,литературный,ADJECTIVE,85,10,38,0.83,47.39,50.66,16.22,85.7,13
2062,активный,ADJECTIVE,31,8,46,0.6,37.91,2.2,21.62,85.7,10
3843,неужели,ADJECTIVE,53,2,31,0.65,9.48,26.43,37.84,85.5,180
6501,дума,NOUN,25,0,23,0.69,0,14.32,14.41,85.5,13
1144,чудо,NOUN,259,21,62,0.74,99.53,174.01,115.32,85.4,96
1802,сутки,NOUN,70,10,31,0.67,47.39,29.74,43.24,85.4,58
1449,шея,NOUN,111,14,62,0.61,66.35,51.76,88.29,85.3,147
431,зайти,VERB,186,72,46,0.62,341.23,41.85,109.91,85.2,139
1606,судья,NOUN,29,12,54,0.63,56.87,2.2,12.61,85.2,28
2665,острый,ADJECTIVE,130,5,46,0.68,23.7,91.41,73.87,85.1,99
5100,стремиться,VERB,21,1,31,0.71,4.74,14.32,10.81,85.1,30
820,крыша,NOUN,270,34,54,0.62,161.14,163,156.76,85,162
1462,отсюда,ADVERB,54,14,54,0.6,66.35,18.72,28.83,85,134
2232,богатый,ADJECTIVE,145,7,38,0.77,33.18,53.96,55.86,85,53
2343,настроение,NOUN,195,6,38,0.67,28.44,104.63,147.75,85,89
3053,творческий,ADJECTIVE,84,4,38,0.73,18.96,61.67,36.04,85,12
8799,богатый,NOUN,1,0,8,1,0,1.1,0,85,53
6473,поток,NOUN,27,0,15,0.7,0,20.93,14.41,84.8,51
481,мягкий,ADJECTIVE,1324,63,69,0.67,298.58,936.12,731.53,84.7,99
2477,ночной,ADJECTIVE,135,6,38,0.79,28.44,111.23,46.85,84.7,87
6573,мозг,NOUN,20,0,23,0.75,0,6.61,9.01,84.5,38
1713,честь,NOUN,81,11,38,0.74,52.13,49.56,30.63,84.4,58
3316,толстый,ADJECTIVE,135,3,38,0.68,14.22,58.37,117.12,84.4,173
3537,пост,NOUN,31,3,38,0.82,14.22,17.62,7.21,84.3,39
762,падать,VERB,340,38,46,0.67,180.09,213.66,190.99,84.2,128
1526,звучать,VERB,213,13,38,0.67,61.61,142.07,118.92,84.1,63
513,июнь,NOUN,123,60,92,0.56,284.36,22.03,61.26,84,18
2362,бедный,ADJECTIVE,92,6,31,0.71,28.44,42.95,46.85,84,76
4012,сотня,NOUN,41,2,31,0.7,9.48,26.43,21.62,84,64
7256,бедный,NOUN,4,0,23,0.75,0,2.2,1.8,84,76
2108,верхний,ADJECTIVE,59,8,38,0.81,37.91,44.05,18.02,83.9,77
